subplot_id,year,speriod,fc_bare_gnd_fol_cvr,can_cover_pt_shrub,can_cover_pt_pgrass,can_cover_pt_pforb,can_cover_pt_agrass,can_cover_pt_aforb,can_cover_pt_forb,rcode,scode,pcode,ptype,sp_number,treatment
SW-SD-BC163,14,1,14,11.3,8,0.3,6,2,0,SW,SD,B,CP,163,FP
SW-SD-BC163,17,1,13.7,16.7,23,0.3,44.3,0.3,0,SW,SD,B,CP,163,FP
SW-SD-BC170,7,1,15.3,30.3,13,5,28.7,3,0,SW,SD,B,CP,170,FP
SW-SD-BC170,11,1,36.7,0.3,25.3,2.7,13,2,0,SW,SD,B,CP,170,FP
SW-SD-BC170,14,1,14.3,3,29,1.7,6.3,3.3,0,SW,SD,B,CP,170,FP
SW-SD-BC214,7,1,30.7,31.3,13.7,6,11,3.3,0,SW,SD,B,CP,214,FP
SW-SD-BC214,11,1,51,0.7,22,4.3,7.7,1,0,SW,SD,B,CP,214,FP
SW-SD-BC214,14,1,8.3,5,26,5,9,6,0,SW,SD,B,CP,214,FP
SW-SD-BC214,17,1,7.3,9.3,39,0.3,45,0.7,0,SW,SD,B,CP,214,FP
SW-SD-BC223,7,1,14,34.3,13.7,2.3,49,1.3,0,SW,SD,B,CP,223,FP
SW-SD-BC223,11,1,40.7,1.3,17,0,19,20.7,0,SW,SD,B,CP,223,FP
SW-SD-BC223,14,1,9,5.7,18.3,0,25.3,16.7,0,SW,SD,B,CP,223,FP
SW-SD-BC223,17,1,4.3,9.3,25.7,0,80.3,0,0,SW,SD,B,CP,223,FP
SW-SD-CC005,7,1,9.7,26.3,5.7,0,63.3,9.7,0,SW,SD,C,CP,5,CO
SW-SD-CC005,11,1,20.3,16.7,4.7,0,39,11.3,0,SW,SD,C,CP,5,CO
SW-SD-CC005,14,1,6.7,19,8.3,0,37,5,0,SW,SD,C,CP,5,CO
SW-SD-CC005,17,1,9.3,20.3,9.7,0,60.7,34.3,0,SW,SD,C,CP,5,CO
SW-SD-CC016,7,1,16,24.3,26,0,21,7.7,0,SW,SD,C,CP,16,CO
SW-SD-CC016,11,1,24.7,17,26,0.3,12.7,6.3,0,SW,SD,C,CP,16,CO
SW-SD-CC016,14,1,17.3,19.7,23.7,0.7,1.3,1,0,SW,SD,C,CP,16,CO
SW-SD-CC019,7,1,10.7,34.7,12.3,0,51,6.7,0,SW,SD,C,CP,19,CO
SW-SD-CC019,11,1,17.3,27,13,0,30.7,8.7,0,SW,SD,C,CP,19,CO
SW-SD-CC019,14,1,8.3,34.3,19,0,17.7,4.7,0,SW,SD,C,CP,19,CO
SW-SD-CC019,17,1,11,31.7,23.7,0,56.3,34,0,SW,SD,C,CP,19,CO
SW-SD-CC030,7,1,10.3,24.3,34,1.3,28.7,12.7,0,SW,SD,C,CP,30,CP
SW-SD-CC030,11,1,21.3,17.7,29.7,2,1.3,4,0,SW,SD,C,CP,30,CP
SW-SD-CC030,14,1,25,23,19,1,0.3,0.7,0,SW,SD,C,CP,30,CP
SW-SD-CC046,7,1,4.3,17,14,0,75.3,15,0,SW,SD,C,CP,46,CP
SW-SD-CC046,11,1,20.3,25.3,16.3,0,14.3,2,0,SW,SD,C,CP,46,CP
SW-SD-CC046,14,1,16,30.3,10,0,12,3.3,0,SW,SD,C,CP,46,CP
SW-SD-CC053,7,1,11.3,33,4,0,50,9.3,0,SW,SD,C,CP,53,CP
SW-SD-CC053,11,1,48.3,22,2.7,0.3,5.7,1.7,0,SW,SD,C,CP,53,CP
SW-SD-CC053,14,1,39,30.7,3.7,0,5,0.3,0,SW,SD,C,CP,53,CP
SW-SD-CC053,17,1,27,26.7,5.3,0.3,39.7,31.7,0,SW,SD,C,CP,53,CP
SW-SD-CC057,7,1,6.7,29.7,46,0.3,23,5,0,SW,SD,C,CP,57,CO
SW-SD-CC057,11,1,21,17.7,37.3,0.7,4.3,7.3,0,SW,SD,C,CP,57,CO
SW-SD-CC057,14,1,11.3,22.3,28,0.3,1.7,1.7,0,SW,SD,C,CP,57,CO
SW-SD-CC057,17,1,6,22,39.3,1.3,35.7,30.3,0,SW,SD,C,CP,57,CO
SW-SD-CC075,7,1,15.3,34.3,5.3,0.3,47.3,2.7,0,SW,SD,C,CP,75,CP
SW-SD-CC075,11,1,39,23.7,4.3,0.3,4.7,1.7,0,SW,SD,C,CP,75,CP
SW-SD-CC075,14,1,29.7,32.7,5.7,0,3.3,0.3,0,SW,SD,C,CP,75,CP
SW-SD-CC084,7,1,11.7,28,46.3,2.3,7,0.7,0,SW,SD,C,CP,84,CO
SW-SD-CC084,11,1,16.3,21,37.3,1.7,2.3,0.7,0,SW,SD,C,CP,84,CO
SW-SD-CC084,14,1,13,23.3,30,2.3,0,0.3,0,SW,SD,C,CP,84,CO
SW-SD-CC113,7,1,19,30.3,33.7,1.3,12.3,1,0,SW,SD,C,CP,113,CP
SW-SD-CC113,11,1,31.7,21.7,20.7,1.7,2.7,0,0,SW,SD,C,CP,113,CP
SW-SD-CC113,14,1,22,27.7,21.3,0.7,1.7,0,0,SW,SD,C,CP,113,CP
SW-SD-CC126,7,1,7.7,34.7,37.3,0,18.3,2.3,0,SW,SD,C,CP,126,CO
SW-SD-CC126,11,1,10,21,34,0,4.3,5,0,SW,SD,C,CP,126,CO
SW-SD-CC126,14,1,4.7,24.3,43.3,0,0.3,0,0,SW,SD,C,CP,126,CO
SW-SD-CC134,7,1,8.3,35.7,43,1.7,18,2.3,0,SW,SD,C,CP,134,CO
SW-SD-CC134,11,1,14,21.7,43.7,2,5.7,2,0,SW,SD,C,CP,134,CO
SW-SD-CC134,14,1,11.3,29.3,28.3,2.7,1,1,0,SW,SD,C,CP,134,CO
SW-SD-CC153,7,1,3.3,18,13.3,0,63.7,12.3,0,SW,SD,C,CP,153,CP
SW-SD-CC153,11,1,30,15,12.3,0,5.3,1,0,SW,SD,C,CP,153,CP
SW-SD-CC153,14,1,31.3,21.3,12.7,0,6.3,0.7,0,SW,SD,C,CP,153,CP
SW-SD-CC153,17,1,12,26,14,0,50.7,33.7,0,SW,SD,C,CP,153,CP
SW-SD-CC155,7,1,4.7,26.7,44.3,1.3,20,5,0,SW,SD,C,CP,155,CP
SW-SD-CC155,11,1,20.7,18.3,39.7,2.7,1.7,1.3,0,SW,SD,C,CP,155,CP
SW-SD-CC155,14,1,11.3,25,28.7,2.3,1,0.7,0,SW,SD,C,CP,155,CP
SW-SD-CC155,17,1,12.3,25,40,3,29.7,22,0,SW,SD,C,CP,155,CP
SW-SD-CC160,7,1,7.7,27.7,29,0.7,17.3,0.7,0,SW,SD,C,CP,160,CP
SW-SD-CC160,11,1,29.3,25.7,27,0.3,3.3,0,0,SW,SD,C,CP,160,CP
SW-SD-CC160,14,1,21.7,27.3,22.3,1,1,0,0,SW,SD,C,CP,160,CP
SW-SD-CC164,7,1,4.3,7.3,36.3,1,50,4.7,0,SW,SD,C,CP,164,CP
SW-SD-CC164,11,1,29,7.7,24.7,0.3,15,1.3,0,SW,SD,C,CP,164,CP
SW-SD-CC164,14,1,25.7,16.7,25.3,2.3,5,0,0,SW,SD,C,CP,164,CP
SW-SD-CC183,7,1,5,25.7,46,2.7,9.7,1,0.3,SW,SD,C,CP,183,CO
SW-SD-CC183,11,1,8,19.3,40.3,2.3,5,1.3,0,SW,SD,C,CP,183,CO
SW-SD-CC183,14,1,6,20.7,30,4.7,0,0.3,0,SW,SD,C,CP,183,CO
SW-SD-CC203,7,1,7.3,25.3,12.7,1,63.3,11.7,0,SW,SD,C,CP,203,CO
SW-SD-CC203,11,1,10.7,22.7,10.7,1.3,38.3,26.3,0,SW,SD,C,CP,203,CO
SW-SD-CC203,14,1,8.7,22.3,14.7,0.7,17.3,9.7,0,SW,SD,C,CP,203,CO
SW-SD-HC007,7,1,29,35.7,16,0,17,4.7,0,SW,SD,H,CP,7,TP
SW-SD-HC007,11,1,39.3,32,17,0,2.7,0.3,0,SW,SD,H,CP,7,TP
SW-SD-HC007,14,1,21.3,36,18,0.3,0,0.3,0,SW,SD,H,CP,7,TP
SW-SD-HC035,7,1,32.3,26.7,21.3,1,10.3,2.3,0,SW,SD,H,CP,35,TE
SW-SD-HC035,11,1,23,22,28,2,2.3,1.3,0,SW,SD,H,CP,35,TE
SW-SD-HC035,14,1,20,24.7,26.3,2,0.3,0.3,0,SW,SD,H,CP,35,TE
SW-SD-HC080,7,1,23,28,21,0.3,8.7,1.3,0,SW,SD,H,CP,80,TE
SW-SD-HC080,11,1,25.3,22.7,29.7,2,2.3,0.3,0,SW,SD,H,CP,80,TE
SW-SD-HC080,14,1,22.7,23,25,1,0.3,0,0,SW,SD,H,CP,80,TE
SW-SD-HC100,7,1,13,36,36,0,8,0.7,0,SW,SD,H,CP,100,TP
SW-SD-HC100,11,1,29.7,34.7,28.7,0.3,0.3,0,0,SW,SD,H,CP,100,TP
SW-SD-HC100,14,1,13.7,42.3,24.3,0,0,0,0,SW,SD,H,CP,100,TP
SW-SD-HC105,7,1,30.7,35.3,6,0,28,0,0,SW,SD,H,CP,105,TP
SW-SD-HC105,11,1,39.7,29.3,8.7,0,3.7,0.7,0,SW,SD,H,CP,105,TP
SW-SD-HC105,14,1,28.7,36.3,12,0,1,0,0,SW,SD,H,CP,105,TP
SW-SD-HC111,7,1,14.3,33.7,42.3,0.3,5,1,0,SW,SD,H,CP,111,TE
SW-SD-HC111,11,1,11.7,28.3,56,0.3,1.3,1.7,0,SW,SD,H,CP,111,TE
SW-SD-HC111,14,1,12,34.3,33,0,0.3,0.3,0,SW,SD,H,CP,111,TE
SW-SD-HC113,7,1,15,35,38.3,0.3,0.7,0,0,SW,SD,H,CP,113,TE
SW-SD-HC113,11,1,9.7,27,41,0.3,0,0,0,SW,SD,H,CP,113,TE
SW-SD-HC113,14,1,7.7,34.3,29,0,0,0,0,SW,SD,H,CP,113,TE
SW-SD-HC113,17,1,11.3,38,63.3,0,0.7,1.7,0,SW,SD,H,CP,113,TE
SW-SD-HC139,7,1,37,24.3,6.7,0,15,0.3,0,SW,SD,H,CP,139,TP
SW-SD-HC139,11,1,51,1,6,0,4.3,0.3,0,SW,SD,H,CP,139,TP
SW-SD-HC139,14,1,21,1,2.7,0,13.3,10.3,0,SW,SD,H,CP,139,TP
SW-SD-HC145,7,1,12.7,46.3,36,0.7,2,0.7,0,SW,SD,H,CP,145,TE
SW-SD-HC145,11,1,9.7,26.7,47.7,0,1,0.3,0,SW,SD,H,CP,145,TE
SW-SD-HC145,14,1,6,38.3,34.7,0,0,0,0,SW,SD,H,CP,145,TE
SW-SD-HC148,7,1,26,34,38,0,2,0,0,SW,SD,H,CP,148,TE
SW-SD-HC148,11,1,25,22,38.7,0.3,0,0,0,SW,SD,H,CP,148,TE
SW-SD-HC148,14,1,16,24,30,1,0,0,0,SW,SD,H,CP,148,TE
SW-SD-HC148,17,1,16.3,22,56.3,0,2.3,1,0,SW,SD,H,CP,148,TE
SW-SD-HC152,7,1,19.7,27.3,22.3,0,6,0,0,SW,SD,H,CP,152,TP
SW-SD-HC152,11,1,27.3,6.3,21.7,0,2.3,0,0,SW,SD,H,CP,152,TP
SW-SD-HC152,14,1,10,8.7,14.7,0,11,6,0,SW,SD,H,CP,152,TP
SW-SD-HC152,17,1,1.3,5.7,21,0,74.3,0.3,0,SW,SD,H,CP,152,TP
SW-SD-HC164,7,1,20.3,25.7,37.3,1.7,1,0,0,SW,SD,H,CP,164,TP
SW-SD-HC164,11,1,30.3,7.3,32.3,0.3,0,0,0,SW,SD,H,CP,164,TP
SW-SD-HC164,14,1,12,7.3,41.3,0,0,1,0,SW,SD,H,CP,164,TP
SW-SD-HC164,17,1,6.7,12.7,66,1.3,14,4,0,SW,SD,H,CP,164,TP
SW-SD-HC175,7,1,18.7,45,33.7,1.3,5.3,0,0,SW,SD,H,CP,175,TE
SW-SD-HC175,11,1,28.3,8.7,29,1,2,1.3,0,SW,SD,H,CP,175,TE
SW-SD-HC175,14,1,11.3,12,21.3,0.3,2.3,1,0,SW,SD,H,CP,175,TE
SW-SD-HC178,7,1,17.3,24.3,31,1.7,2.7,0,0,SW,SD,H,CP,178,TP
SW-SD-HC178,11,1,31,1.7,26.7,0,0.3,0.3,0,SW,SD,H,CP,178,TP
SW-SD-HC178,14,1,7.3,1.7,23,1,1.7,3.7,0,SW,SD,H,CP,178,TP
SW-SD-HC179,7,1,16.7,25,27.3,1.3,2.7,0,0,SW,SD,H,CP,179,TE
SW-SD-HC179,11,1,32.3,1.3,19.3,0,0.7,0.3,0,SW,SD,H,CP,179,TE
SW-SD-HC179,14,1,5.7,0,13.3,0.3,12.7,17.7,0,SW,SD,H,CP,179,TE
SW-SD-HC179,17,1,2.3,0,17,0,82.3,1.3,0,SW,SD,H,CP,179,TE
SW-SD-HC187,7,1,26.3,35,27.3,0,5,0,0,SW,SD,H,CP,187,TE
SW-SD-HC187,11,1,36,13,23.7,0.3,0.3,0,0,SW,SD,H,CP,187,TE
SW-SD-HC187,14,1,14,19.7,26.7,0.3,1.7,0,0,SW,SD,H,CP,187,TE
SW-SD-HC195,7,1,21,34.7,35,0.7,1.3,0,0,SW,SD,H,CP,195,TP
SW-SD-HC195,11,1,27.3,4.7,29,0,0,0,0,SW,SD,H,CP,195,TP
SW-SD-HC195,14,1,11.3,5,20.7,0,1.7,2.7,0,SW,SD,H,CP,195,TP
SW-SD-HC208,7,1,30,37.3,20,0.3,12.3,0,0,SW,SD,H,CP,208,TP
SW-SD-HC208,11,1,39,3,12.3,0,3.7,0,0,SW,SD,H,CP,208,TP
SW-SD-HC208,14,1,12.3,1.7,5,0,14,12.7,0,SW,SD,H,CP,208,TP
SW-SD-HC208,17,1,0.7,1.3,11.7,0.7,82.7,1.3,0,SW,SD,H,CP,208,TP
SW-SD-MC004,7,1,28.3,30,11.7,1.3,19.7,3,0,SW,SD,M,CP,4,MO
SW-SD-MC004,11,1,15.7,3.7,32.3,0.7,26.3,2.3,0,SW,SD,M,CP,4,MO
SW-SD-MC004,14,1,9,7.7,29.7,0.7,5.7,2.3,0,SW,SD,M,CP,4,MO
SW-SD-MC021,7,1,10,39.3,48,0.7,2.7,1.3,0,SW,SD,M,CP,21,MP
SW-SD-MC021,11,1,11.7,2.7,51.3,0.3,0.7,1,0,SW,SD,M,CP,21,MP
SW-SD-MC021,14,1,4.3,14,26.3,0.3,2,15.3,0,SW,SD,M,CP,21,MP
SW-SD-MC021,17,1,1,17,47.7,0,73,1.3,0,SW,SD,M,CP,21,MP
SW-SD-MC042,7,1,28,23.7,13.7,0,30.7,1.7,0,SW,SD,M,CP,42,MO
SW-SD-MC042,11,1,13.7,1.7,26,0,40.3,2.3,0,SW,SD,M,CP,42,MO
SW-SD-MC042,14,1,9.3,4.3,23.7,0,23.3,6.3,0,SW,SD,M,CP,42,MO
SW-SD-MC042,17,1,7,4,28.7,0,60.7,5,0,SW,SD,M,CP,42,MO
SW-SD-MC069,7,1,28.7,27,26,0,9,1.7,0,SW,SD,M,CP,69,MO
SW-SD-MC069,11,1,25,5,52,0,4.7,0,0,SW,SD,M,CP,69,MO
SW-SD-MC069,14,1,18.3,5,48,0,0,0,0,SW,SD,M,CP,69,MO
SW-SD-MC079,7,1,32,23.7,8.3,0,38.3,2.7,0,SW,SD,M,CP,79,MP
SW-SD-MC079,11,1,22.7,5,19.3,0,26.3,3,0,SW,SD,M,CP,79,MP
SW-SD-MC079,14,1,12,9.7,23,0.3,26.3,3.3,0,SW,SD,M,CP,79,MP
SW-SD-MC107,7,1,11,35,28.3,0,26.3,2,0,SW,SD,M,CP,107,MP
SW-SD-MC107,11,1,8.3,1.7,41,0,28,6.3,0,SW,SD,M,CP,107,MP
SW-SD-MC107,14,1,1.3,2,19,0,44.7,11.7,0,SW,SD,M,CP,107,MP
SW-SD-MC111,7,1,9.3,24,37.7,0,8.7,1,0,SW,SD,M,CP,111,MO
SW-SD-MC111,11,1,5.3,5,56.3,0,13.7,1.7,0,SW,SD,M,CP,111,MO
SW-SD-MC111,14,1,3.3,8.7,31.7,1,12,12.7,0,SW,SD,M,CP,111,MO
SW-SD-MC113,7,1,37,27,14.7,0,12,1.7,0,SW,SD,M,CP,113,MO
SW-SD-MC113,11,1,21.7,6,19,0,40.7,1.7,0,SW,SD,M,CP,113,MO
SW-SD-MC113,14,1,13.3,10.7,12.7,1,30,2,0,SW,SD,M,CP,113,MO
SW-SD-MC121,7,1,14.7,34.7,33.7,0,17.3,0.3,0,SW,SD,M,CP,121,MO
SW-SD-MC121,11,1,9.7,3,47.7,0,25,0.3,0,SW,SD,M,CP,121,MO
SW-SD-MC121,14,1,6.7,5,40,0,13.7,12,0,SW,SD,M,CP,121,MO
SW-SD-MC121,17,1,3.3,5,42.7,0,56.7,0,0,SW,SD,M,CP,121,MO
SW-SD-MC140,7,1,22.3,28.7,27,0,3,0.3,0,SW,SD,M,CP,140,MP
SW-SD-MC140,11,1,11,2.3,58.3,0,4,0,0,SW,SD,M,CP,140,MP
SW-SD-MC140,14,1,6,1.7,67,0,1,0.3,0,SW,SD,M,CP,140,MP
SW-SD-MC162,7,1,14,27.3,32,2.7,8.3,0.7,0,SW,SD,M,CP,162,MP
SW-SD-MC162,11,1,13.3,5,58.3,4,1.7,0.7,0,SW,SD,M,CP,162,MP
SW-SD-MC162,14,1,4.7,4.3,44.3,2.3,1.7,7.7,0,SW,SD,M,CP,162,MP
SW-SD-MC172,7,1,30.7,25,28.7,0,11.7,0,0,SW,SD,M,CP,172,MO
SW-SD-MC172,11,1,21.3,3.7,39,0.3,12.7,0.3,0,SW,SD,M,CP,172,MO
SW-SD-MC172,14,1,13.7,7.3,46.3,0.3,3,0.3,0,SW,SD,M,CP,172,MO
SW-SD-MC174,7,1,22.7,25,35.7,0,4.7,0,0,SW,SD,M,CP,174,MP
SW-SD-MC174,11,1,20.3,0.3,53.3,0,0.3,0,0,SW,SD,M,CP,174,MP
SW-SD-MC174,14,1,4.3,1,57.3,0,0.3,1,0,SW,SD,M,CP,174,MP
SW-SD-MC174,17,1,3.7,1.7,75,0,22,0,0,SW,SD,M,CP,174,MP
SW-SD-MC177,7,1,20.7,26.7,28,0.3,11.3,1.3,0,SW,SD,M,CP,177,MO
SW-SD-MC177,11,1,14,0.7,54.7,0,12.7,0,0,SW,SD,M,CP,177,MO
SW-SD-MC177,14,1,7.7,0.7,52.3,0,4.3,4,0,SW,SD,M,CP,177,MO
SW-SD-MC186,7,1,22,22.7,32.7,0,8.3,0,0,SW,SD,M,CP,186,MO
SW-SD-MC186,11,1,16,2,48,0.7,13.3,0.3,0,SW,SD,M,CP,186,MO
SW-SD-MC186,14,1,9.7,5.3,40.3,0.7,6.3,1.3,0,SW,SD,M,CP,186,MO
SW-SD-MC186,17,1,5,4.3,48,0,48.7,0.7,0,SW,SD,M,CP,186,MO
SW-SD-MC195,7,1,22.3,22.7,5.7,0,66.3,1.7,0,SW,SD,M,CP,195,MP
SW-SD-MC195,11,1,18.3,5,18.7,0.3,36.7,0.7,0,SW,SD,M,CP,195,MP
SW-SD-MC195,14,1,7.3,14.7,10.7,0.3,31.7,2.7,0,SW,SD,M,CP,195,MP
SW-SD-MC203,7,1,26.7,26,37,0,8,0.7,0,SW,SD,M,CP,203,MP
SW-SD-MC203,11,1,17.7,3,58.7,0.3,2,0,0,SW,SD,M,CP,203,MP
SW-SD-MC203,14,1,5.7,4.7,61.3,0,0,0,0,SW,SD,M,CP,203,MP
SW-SD-MC203,17,1,5,6.3,66.7,0,38,1,0,SW,SD,M,CP,203,MP
SW-SD-MC211,7,1,19.3,34.3,23,0,35,0,0,SW,SD,M,CP,211,MP
SW-SD-MC211,11,1,13.3,0.3,44,0.3,27,1.7,0,SW,SD,M,CP,211,MP
SW-SD-MC211,14,1,5.7,1,32.7,0.3,14.7,9,0,SW,SD,M,CP,211,MP
