"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","shrub_bulk_dns","shrub_bd_ARTRW8","shrub_bd_CHVI8","shrub_bd_EPVI","shrub_bd_ERSP7","shrub_bd_GRSP","shrub_bd_GUSA2","shrub_bd_PUST","avg_grass_ht","tree_dns_ttl_JUOS","tree_dns_lt5_JUOS","tree_dns_5_50_JUOS","tree_dns_gt50_JUOS","tree_dns_ttl_PIED","tree_dns_lt5_PIED","tree_dns_5_50_PIED","tree_dns_gt50_PIED","tree_dns_ttl_PIMO","tree_dns_lt5_PIMO","tree_dns_5_50_PIMO","tree_dns_gt50_PIMO","tree_dns_ttl_JUOC","tree_dns_lt5_JUOC","tree_dns_5_50_JUOC","tree_dns_gt50_JUOC","shrub_dns_ARTRW8","shrub_dns_CHVI8","shrub_dns_EPVI","shrub_dns_ERSP7","shrub_dns_GUSA2","shrub_dns_PUST","shrub_ht_avg_ARTRW8","shrub_ht_avg_CHVI8","shrub_ht_avg_EPVI","shrub_ht_avg_ERSP7","shrub_ht_avg_GRSP","shrub_ht_avg_GUSA2","shrub_ht_avg_PUST","grass_ht_avg","forb_ht_avg","can_cover_pt_tree","can_cover_pt_shrub","can_cover_pt_pgrass","can_cover_pt_pforb","can_cover_pt_agrass","can_cover_pt_aforb","can_cover_pt_forb","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","litter_cover","bare_gnd_cover","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-CC027","16","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,5222,19,NA,NA,NA,NA,NA,NA,NA,NA,7.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,13.1,5.2,36,6.3,1.3,2.3,2.3,1.3,0,NA,NA,NA,NA,56.3,97.3,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","17","001",-327,-308,-167,693,2095,1270,158,40,11,384,NA,0.1279,0.1279,0,0,0,0,0,0,5,202,0,111,91,319,0,56,263,0,0,0,0,0,0,0,0,5107,0,0,0,5163,0,30.6,0,0,0,0,20,0,10.8,6.5,29.3,5.7,3,3,5.7,0.3,0,38.9,19.8,19.1,0,50.3,76.7,43277,NA,43277,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC029","17","001",-8918,-2735,-3074,1164,2647,0,878,155,27,443,NA,0.9049,0.9049,0,0,0,0,0,0,6.625,51,0,0,51,81,0,0,81,0,0,0,0,0,0,0,0,12738,337,0,0,56,0,49,24,0,0,0,24.3,0,11,4.5,7.5,26.2,13.3,0.4,22.1,0,0,7.4,1.3,6.1,0,74.2,87.1,5152,1131,6283,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC031","17","001",-8739,-2007,-2585,1026,772,0,599,157,0,112,NA,0.7186,0.7186,0,0,0,0,0,0,11,121,0,0,121,121,0,0,121,10,0,0,10,0,0,0,0,14310,0,0,0,10662,0,47.3,0,0,0,0,23.9,0,17.4,9.3,12,19,9,1,2.3,0,0,15,7.6,6.6,0.8,32.7,91.3,8705,NA,8705,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC033","16","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,2536,29,NA,NA,NA,NA,NA,NA,NA,NA,9.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,13.6,9.8,35.3,5,1,2,2.3,1,0,NA,NA,NA,NA,57.3,99.7,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","17","001",-139,-92,-53,1067,1544,819,158,51,0,539,NA,0.0373,0.0373,0,0,0,0,0,0,3.375,212,0,0,212,464,0,222,242,0,0,0,0,0,0,0,0,3984,0,0,0,4265,0,31.8,0,0,0,0,19.8,0,5.3,5.4,34.7,6,6,3,5,0,0,29.9,16.6,13.3,0,49.3,77.7,15243,NA,15243,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC034","17","001",7880,1704,2322,1760,1764,0,1157,637,69,269,NA,0.6692,0.6692,0,0,0,0,0,0,13.1875,91,0,0,91,131,0,0,131,0,0,0,0,0,0,0,0,10943,0,0,0,3704,0,42.8,0,0,0,0,0,0,22.3,6.6,7.3,14.7,25.7,2,37.7,0.3,0,8.1,2.2,5.9,0,30.7,84,3535,3036,6571,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC038","17","001",-3187,-1534,-1228,1109,2095,0,316,157,45,512,NA,0.5945,0.5945,0,0,0,0,0,0,12.75,61,0,0,61,51,0,0,51,20,0,0,20,0,0,0,0,11785,0,0,0,2918,0,37.6,0,0,0,0,20.2,0,18,7.5,10.3,17,15.3,3,17.3,0,0,8.3,4.4,3.8,0.1,58.7,86,3631,NA,3631,"JP","GR","C","CP","038","CO","1"
"JP-ON-CC000","16","001",-2463,-1140,-1462,541,441,477,0,115,0,312,NA,0.3219,0.3219,0,0,0,0,0,0,16.1875,363,0,222,141,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,4153,0,58.1,0,0,0,0,28.5,0,27.5,11.8,11,12,24,1.3,4.7,35.3,0,15.9,15.9,0,0,47.7,73,18384,NA,18384,"JP","ON","C","CP","000","CO","2"
"JP-ON-CC002","16","001",-337,-211,-225,388,1323,0,0,29,5,1952,NA,0.0778,0.0778,0,0,0,0,0,0,9.375,420,0,167,253,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,0,0,1852,0,41.6,0,0,0,0,19.7,0,20.6,9.4,25.3,3,15.3,0.3,0.3,12.3,0,19.6,19.6,0,0,36.3,72.7,18897,NA,18897,"JP","ON","C","CP","002","CO","2"
"JP-ON-CC004","16","001",0,0,0,1331,1323,0,0,43,0,709,NA,0,0,0,0,0,0,0,0,16.4375,353,0,111,242,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,561,0,0,0,0,0,0,0,0,30.5,10,35,1.3,14,0.3,4,18.7,0,30.3,30.3,0,0,41.7,65.3,29504,NA,29504,"JP","ON","C","CP","004","CO","3"
"JP-ON-CC006","16","001",-3141,-1411,-1764,582,1103,322,355,304,51,144,NA,0.4966,0.4966,0,0,0,0,0,0,12.5,253,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,3367,0,0,0,1627,0,46.2,0,0,0,0,29.3,0,19.9,7.6,16.3,11,25.7,1.7,0.3,30.3,0,11.5,11.5,0,0,53.7,52,7005,NA,7005,"JP","ON","C","CP","006","CO","1"
"JP-ON-CC008","16","001",-4734,-2354,-2893,513,1544,885,0,85,5,243,NA,0.6428,0.6428,0,0,0,0,0,0,10.5,450,0,167,283,0,0,0,0,0,0,0,0,0,0,0,0,3367,0,0,0,11504,0,59.1,0,0,0,0,23.1,0,16.9,6.3,16.3,18.3,9.7,3.7,0.7,24.7,0,15.9,15.9,0,0,45.3,85,21877,NA,21877,"JP","ON","C","CP","008","CO","2"
"JP-ON-CC012","16","001",-2591,-1213,-1525,735,993,266,0,339,32,152,NA,0.3521,0.3521,0,0,0,0,0,0,21.8125,515,0,222,293,0,0,0,0,0,0,0,0,0,0,0,0,3255,0,0,0,1122,0,56.1,0,0,0,0,27.9,0,39.7,8.9,18,14,30,3,0,16.3,0,12.5,12.5,0,0,42.3,67.3,12689,NA,12689,"JP","ON","C","CP","012","CO","1"
"JP-ON-CC013","16","001",-2111,-1756,-1687,333,662,372,0,136,19,112,NA,0.623,0.623,0,0,0,0,0,0,10.875,712,0,167,545,0,0,0,0,0,0,0,0,0,0,0,0,4153,0,0,0,4714,0,41.7,0,0,0,0,28.2,0,14.6,9,7,11.3,21.3,2,0,14.7,0,18.4,18.4,0,0,44.7,66,6835,NA,6835,"JP","ON","C","CP","013","CO","1"
"JP-ON-CC014","16","001",-2013,-1403,-1413,333,993,211,200,69,21,496,NA,0.5673,0.5673,0,0,0,0,0,0,8.875,419,0,278,141,0,0,0,0,0,0,0,0,0,0,0,0,4097,0,0,0,2301,0,37.2,0,0,0,0,22.9,0,17.4,7.9,22.7,13.7,8,2.7,0.3,16.3,0,2.8,2.8,0,0,37.7,71,2935,NA,2935,"JP","ON","C","CP","014","CO","1"
"JP-ON-CC014","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,109,235,NA,NA,NA,NA,NA,NA,NA,NA,9.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,14.3,7.5,17.9,10.8,17.1,3.8,1.2,29.2,0,NA,NA,NA,NA,41.7,54.2,NA,NA,NA,"JP","ON","C","CP","014","CO","1"
"JP-ON-CC020","16","001",-193,-41,-83,236,331,211,0,112,13,973,NA,0.0236,0.0236,0,0,0,0,0,0,14.75,182,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,1235,0,45,0,0,0,0,26.2,0,20.8,10,33.3,3.3,10.7,1,33,13.3,0,27.1,27.1,0,0,60.7,74,34097,NA,34097,"JP","ON","C","CP","020","CO","2"
"JP-ON-CC024","16","001",-3134,-1242,-1618,402,331,477,0,131,19,0,NA,0.4379,0.4379,0,0,0,0,0,0,16.1875,359,0,56,303,0,0,0,0,0,0,0,0,0,0,0,0,3086,0,0,0,5836,0,46.8,0,0,0,0,23.5,0,27.1,9.9,20.7,12.3,15,2,13,29.3,0,16.6,16.6,0,0,41.3,82.7,19178,NA,19178,"JP","ON","C","CP","024","CO","1"
"JP-ON-CC024","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,408,624,NA,NA,NA,NA,NA,NA,NA,NA,14.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,18.6,10.8,16.3,14,9.7,6.3,12.7,19.7,0,NA,NA,NA,NA,37.3,71.7,NA,NA,NA,"JP","ON","C","CP","024","CO","1"
"JP-ON-CC027","16","001",-1700,-712,-933,222,551,329,0,221,115,931,NA,0.2219,0.2219,0,0,0,0,0,0,15.875,303,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,2525,0,0,0,2076,0,53.1,0,0,0,0,24.2,0,31,8.5,22,4,23.3,3.3,1.7,15.3,0,14.8,14.8,0,0,40.7,77,16232,NA,16232,"JP","ON","C","CP","027","CO","2"
"JP-ON-CC028","16","001",-866,-530,-562,388,772,0,0,91,8,571,NA,0.2062,0.2062,0,0,0,0,0,0,11.1875,349,0,56,293,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,0,0,1178,0,39.3,0,0,0,0,26.1,0,27.2,6.1,20,7,15.3,1,0.7,17.7,0,18.1,18.1,0,0,37.3,69.7,21150,NA,21150,"JP","ON","C","CP","028","CO","2"
"JP-ON-CC028","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,141,NA,NA,NA,NA,NA,NA,NA,NA,6.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,12.8,5,18.3,3.3,16.3,1.3,0,22.7,0,NA,NA,NA,NA,37.3,62.3,NA,NA,NA,"JP","ON","C","CP","028","CO","2"
"JP-ON-CC029","16","001",-2642,-1313,-1573,402,331,0,0,397,85,336,NA,0.3919,0.3919,0,0,0,0,0,0,20.9375,444,0,222,222,0,0,0,0,0,0,0,0,0,0,0,0,2806,0,0,0,3255,0,53.6,0,0,0,0,28.1,0,40.3,13.3,12.3,8.3,24.3,4,0.3,21.7,0,6.3,6.3,0,0,37,69.3,7379,NA,7379,"JP","ON","C","CP","029","CO","1"
"JP-ON-CC030","16","001",-1302,-591,-722,347,772,539,696,101,35,443,NA,0.2309,0.2309,0,0,0,0,0,0,9.5625,399,0,56,343,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,0,0,1852,0,41.2,0,0,0,0,24.7,0,14.3,7.6,27,5.7,18.7,2,2,19,0,23.9,23.9,0,0,43.3,65.3,20182,NA,20182,"JP","ON","C","CP","030","CO","3"
"JP-ON-CC033","16","001",-1169,-383,-634,582,221,161,483,363,56,693,NA,0.1385,0.1385,0,0,0,0,0,0,13.5625,298,0,56,242,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,0,0,3479,0,50.5,0,0,0,0,24.2,0,18.8,9.6,22.3,6,22,2,1,31.7,0,17.7,17.7,0,0,31.3,74,15357,NA,15357,"JP","ON","C","CP","033","CO","2"
"JP-ON-CC035","16","001",-551,-452,-447,180,110,0,0,115,11,1008,NA,0.1535,0.1535,0,0,0,0,0,0,6.5625,616,0,222,394,0,0,0,0,0,0,0,0,0,0,0,0,1796,0,0,0,2245,0,44,0,0,0,0,19.5,0,15.5,7.2,42.7,5,20,0.3,0,14,0,36.8,36.8,0,0,50.3,63.3,21154,NA,21154,"JP","ON","C","CP","035","CO","3"
"JP-ON-CC037","16","001",-599,-183,-288,55,0,0,0,32,3,24,NA,0.0575,0.0575,0,0,0,0,0,0,4.875,389,0,56,333,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,3030,0,56.8,0,0,0,0,23.1,0,11.5,7.9,39,3.7,12.3,1.3,1,17,0,32.3,32.3,0,0,38.7,72,21621,NA,21621,"JP","ON","C","CP","037","CO","3"
"JP-ON-CC038","16","001",-1894,-1645,-1615,1026,1764,421,0,149,80,184,NA,0.5045,0.5045,0,0,0,0,0,0,17.9375,283,0,111,172,0,0,0,0,0,0,0,0,0,0,0,0,2525,0,0,0,3591,0,48.6,0,0,0,0,22.4,0,26.3,9.6,10.7,8.7,13.7,0.3,0.7,18.7,0,15.4,15.4,0,0,40.7,82.7,9803,NA,9803,"JP","ON","C","CP","038","CO","2"
"JP-SC-CC001","17","001",-6364,-3290,-2847,1566,1875,477,0,325,557,1336,NA,0.5204,0.5204,0,0,0,0,0,0,19.125,1010,889,0,121,0,0,0,0,0,0,0,0,111,0,111,0,4209,617,0,0,0,0,90.6,27.5,0,0,0,28,0,22.4,15.9,19.7,15,22.7,13.3,5.3,17.7,0,19.5,19.5,0,0,57,55.7,6826,1645,8471,"JP","SC","C","CP","001","CO","2"
"JP-SC-CC002","17","001",-4901,-2344,-2280,984,2757,3062,247,387,3,715,NA,0.437,0.437,0,0,0,0,0,0,17.5,127,0,56,71,10,0,0,10,0,0,0,0,0,0,0,0,7464,4265,56,56,0,0,79.7,31.3,0,0,0,0,0,22.5,12.5,10.4,24.2,13.3,25,13.3,33.3,0,14,13.5,0.5,0,42.1,79.2,6843,NA,6843,"JP","SC","C","CP","002","CO","1"
"JP-SC-CC003","17","001",-3354,-2205,-2466,1289,4191,2016,804,0,0,800,NA,0.5942,0.5942,0,0,0,0,0,0,15.75,61,0,0,61,40,0,0,40,0,0,0,0,0,0,0,0,6846,4153,112,0,0,56,57.9,28.5,0,0,0,0,112,21.8,11.1,13.7,29,20,16,5.7,20,0,7.8,7,0.8,0,42.7,61.7,3160,NA,3160,"JP","SC","C","CP","003","CO","1"
"JP-SC-CC004","17","001",-3708,-1887,-2180,1012,2867,539,247,85,8,216,NA,0.4137,0.4137,0,0,0,0,0,0,9.875,91,0,0,91,30,0,0,30,0,0,0,0,0,0,0,0,6061,7351,0,0,0,0,72,30.3,0,0,0,0,0,16.2,8.7,20.3,24,21,5.3,12.7,23.7,0,15.9,14.4,1.5,0,62,56,7709,NA,7709,"JP","SC","C","CP","004","CO","2"
"JP-SC-CC005","16","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,301,253,NA,NA,NA,NA,NA,NA,NA,NA,15.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,19.8,12,9,23.7,11.7,15.7,2.7,22.7,0,NA,NA,NA,NA,51.7,87,NA,NA,NA,"JP","SC","C","CP","005","CO","1"
"JP-SC-CC005","17","001",-2860,-1417,-1647,776,1875,0,0,173,0,200,NA,0.3574,0.3574,0,0,0,0,0,0,10.4375,71,0,0,71,30,0,0,30,0,0,0,0,0,0,0,0,7856,11897,842,0,0,0,62.7,29.9,84,0,0,26.7,0,12.1,8.8,10.7,21,15.3,8,9,31,0,9.5,6.9,2.6,0,45.3,68.3,3028,NA,3028,"JP","SC","C","CP","005","CO","1"
"JP-SC-CC006","17","001",-6943,-2858,-3372,305,1103,0,0,805,187,344,NA,0.6643,0.6643,0,0,0,0,0,0,14.875,40,0,0,40,40,0,0,40,0,0,0,0,0,0,0,0,9091,8418,0,0,0,0,68.4,31.2,74,0,0,17.5,0,18.9,10.9,11.3,26,22,12,3.3,29,0,6.7,5.1,1.6,0,52.3,85,2408,NA,2408,"JP","SC","C","CP","006","CO","1"
"JP-SC-CC007","17","001",-505,-507,-382,1331,2536,0,0,192,29,200,NA,0.1188,0.1188,0,0,0,0,0,0,11.0625,278,0,56,222,91,0,0,91,0,0,0,0,0,0,0,0,4658,1291,0,393,0,0,58.8,20,36.6,24.6,0,0,0,22.2,8.3,27.7,13.3,20.3,12,1.3,10.3,0,21.3,18.6,2.7,0,64.3,74.3,12179,NA,12179,"JP","SC","C","CP","007","CO","2"
"JP-SC-CC008","16","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,1731,147,NA,NA,NA,NA,NA,NA,NA,NA,13.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,17,11.7,37,1.7,9.7,6.3,0.3,6.7,0,NA,NA,NA,NA,62.7,82.3,NA,NA,NA,"JP","SC","C","CP","008","CO","3"
"JP-SC-CC008","17","001",-520,-546,-529,499,1323,0,957,1768,29,691,NA,0.1572,0.1572,0,0,0,0,0,0,12.75,2238,1778,167,293,0,0,0,0,0,0,0,0,0,0,0,0,3479,224,0,0,0,0,51.6,22,0,0,0,0,0,16.4,9.1,42.5,5,8.3,8.3,2.1,9.6,0,41.6,41.6,0,0,55.8,52.9,27076,NA,27076,"JP","SC","C","CP","008","CO","3"
"JP-SC-CC009","17","001",-468,-407,-525,845,1434,0,0,157,3,491,NA,0.1415,0.1415,0,0,0,0,0,0,8.5625,414,0,222,192,0,0,0,0,0,0,0,0,0,0,0,0,2806,505,0,0,0,0,47.3,24,0,0,0,0,0,11.6,11.3,41,3,9.3,9,7.7,25.7,0,36.3,36.3,0,0,54,61,20814,7947,28761,"JP","SC","C","CP","009","CO","3"
"JP-SC-CC010","17","001",-1539,-938,-1004,291,551,0,0,83,24,251,NA,0.2174,0.2174,0,0,0,0,0,0,9.4375,768,0,556,212,20,0,0,20,0,0,0,0,0,0,0,0,3423,954,56,0,0,0,66.2,22,65,0,0,0,0,14.3,6.4,25.3,10,9.7,12,14.7,26.7,0,34.1,33.6,0.5,0,52.3,68,12951,NA,12951,"JP","SC","C","CP","010","CO","2"
"JP-SC-CC011","17","001",-118,-80,-65,554,551,0,0,176,51,104,NA,0.0188,0.0188,0,0,0,0,0,0,8.125,829,0,556,273,76,0,56,20,0,0,0,0,0,0,0,0,842,393,0,0,0,0,60,20,0,0,0,0,0,10.5,8.4,56.3,3,6.3,6,0.3,7.3,0,39.4,38.1,1.3,0,55,53.3,15474,NA,15474,"JP","SC","C","CP","011","CO","3"
"JP-SC-CC012","17","001",-34,-58,-42,333,0,539,0,29,0,1168,NA,0.0182,0.0182,0,0,0,0,0,0,6.625,505,0,222,283,76,0,56,20,0,0,0,0,0,0,0,0,617,1740,0,0,0,112,43.5,19.3,61,0,0,0,0,10,8.3,46.3,1.3,2.3,2.7,2.3,18.3,0,28.9,28.4,0.5,0,49.7,75,11837,5239,17076,"JP","SC","C","CP","012","CO","3"
"JP-SC-CC013","17","001",-1947,-1110,-1217,236,993,0,0,400,0,816,NA,0.281,0.281,0,0,0,0,0,0,14.5625,470,0,167,303,56,0,56,0,0,0,0,0,0,0,0,0,5612,9596,0,0,0,0,61.2,25,37,0,0,0,0,17.3,11.9,33.3,24,8,7.3,4,19.7,0,20.6,20.6,0,0,58.3,67.3,9850,NA,9850,"JP","SC","C","CP","013","CO","2"
"JP-SC-CC014","16","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,1787,61,NA,NA,NA,NA,NA,NA,NA,NA,7.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.1,8.3,42.3,4.7,9.7,4.3,1,7.7,0.7,NA,NA,NA,NA,56.3,88.7,NA,NA,NA,"JP","SC","C","CP","014","CO","3"
"JP-SC-CC014","17","001",-486,-437,-458,859,1323,211,557,197,53,88,NA,0.1313,0.1313,0,0,0,0,0,0,12.625,763,0,389,374,91,0,0,91,0,0,0,0,0,0,0,0,3367,4938,56,0,281,0,50.7,18.8,76,0,0,0,0,15.7,11.5,49.7,4.7,9,5.7,1.3,17.3,0,49.7,45.8,3.9,0,58,59.7,19742,NA,19742,"JP","SC","C","CP","014","CO","3"
